Nat. mort. Gisl of GSA1718 anchovy- Gislason with parameters from Uriarte&Ibaibarriaga (2019)
1 5
2000 2018
0 3
1
1.21    0.89    0.76    0.71
1.21    0.89    0.76    0.71
1.21    0.89    0.76    0.71
1.21    0.89    0.76    0.71
1.21    0.89    0.76    0.71
1.21    0.89    0.76    0.71
1.21    0.89    0.76    0.71
1.21    0.89    0.76    0.71
1.21    0.89    0.76    0.71
1.21    0.89    0.76    0.71
1.21    0.89    0.76    0.71
1.21    0.89    0.76    0.71
1.21    0.89    0.76    0.71
1.21    0.89    0.76    0.71
1.21    0.89    0.76    0.71
1.21    0.89    0.76    0.71
1.21    0.89    0.76    0.71
1.21    0.89    0.76    0.71
1.21    0.89    0.76    0.71
